species,pop,author,lat,lon,num_individuals,num_loci,gene_diversity,global_fst,popden,poplvlsd,adult_mass_g,site_PET_mm_yr,PET_mean,AET_mean,lc_5kSI,lc_20kSI,lc_50kSI,lc_100kSI
Lepus_americanus,Cheng_QC4,Cheng,48.7019,-67.663646,17,8,0.736592,0.053478,5.610000074,40,1570,767.2332731,750.202831,380.447963,0.777495882,0.764826227,0.792040322,0.803938379
Lepus_americanus,Cheng_SK1,Cheng,53.761746,-105.072371,8,8,0.670898,0.098337,1.039999962,49,1570,811.2581169,750.202831,380.447963,0.778653276,0.829193232,0.816728551,0.824966653
Lepus_americanus,Cheng_UT1,Cheng,41.47188,-111.359751,25,8,0.533997,0.291425,1.039999962,73,1570,1313.454733,750.202831,380.447963,0.614209553,0.700837208,0.756303581,0.722714099
Lepus_americanus,Cheng_VT1,Cheng,44.922346,-72.394909,10,8,0.695,0.100628,10.75749993,52,1570,836.5653021,750.202831,380.447963,0.772345574,0.791953822,0.80247868,0.811716774
Lepus_americanus,Cheng_WA1,Cheng,45.514129,-121.833235,30,8,0.752955,0.066087,5.365000129,70,1570,1056.387597,750.202831,380.447963,0.512039935,0.71046829,0.759015298,0.779603433
Lepus_americanus,Cheng_WA3,Cheng,47.948194,-123.712729,9,8,0.616512,0.213803,2.059999943,56,1570,764.6025641,750.202831,380.447963,0.560784912,0.683661045,0.723127673,0.727092713
Lepus_americanus,Cheng_WA4,Cheng,48.027961,-120.822984,29,8,0.74765,0.075509,1.81249994,62,1570,929.1012891,750.202831,380.447963,0.595265552,0.663833865,0.752991751,0.786039042
Lepus_americanus,Cheng_WV1,Cheng,38.706047,-79.865718,14,8,0.603201,0.172403,3.852500081,60,1570,1058.929487,750.202831,380.447963,0.486392482,0.53618045,0.563666846,0.618971813
Lepus_americanus,Cheng_WY1,Cheng,44.089849,-110.53619,77,8,0.543041,0.278207,1.039999962,65,1570,1075.526627,750.202831,380.447963,0.687025349,0.687604676,0.680752767,0.678679072
Lepus_americanus,Cheng_YK2,Cheng,60.996953,-137.90785,30,8,0.642708,0.16442,1.039999962,42,1570,648.348,750.202831,380.447963,0.811085071,0.812844557,0.823024962,0.820934475
Lynx_canadensis,Marrotte_L1,Marrotte,46.671466,-83.036666,18,14,0.707486,0.023145,1.039999962,50,9770,831.9602273,655.4722,354.600518,0.700564944,0.734737968,0.775616796,0.77871211
Lynx_canadensis,Marrotte_L10,Marrotte,49.184482,-84.277684,27,14,0.7391,0.001377,1.039999962,45,9770,742.183274,655.4722,354.600518,0.743317057,0.70671995,0.708849819,0.743818137
Lynx_canadensis,Marrotte_L11,Marrotte,49.693439,-91.246373,35,14,0.734296,0.016871,1.039999962,47,9770,773.7614841,655.4722,354.600518,0.759431272,0.770159133,0.780527933,0.785847967
Lynx_canadensis,Marrotte_L12,Marrotte,49.84726,-82.328742,20,14,0.725621,0.007853,1.039999962,44,9770,727.0878136,655.4722,354.600518,0.777273071,0.781599897,0.773144426,0.780063388
Lynx_canadensis,Marrotte_L13,Marrotte,49.862798,-83.040789,26,14,0.712464,0.036282,1.039999962,41,9770,724.2014134,655.4722,354.600518,0.765194686,0.770007003,0.778453484,0.787027665
Lynx_canadensis,Marrotte_L14,Marrotte,49.028286,-82.10379,32,14,0.73078,0.011638,1.039999962,43,9770,734.6432432,655.4722,354.600518,0.692791145,0.710807503,0.731187552,0.751691862
Lynx_canadensis,Marrotte_L15,Marrotte,48.956667,-82.871549,22,14,0.746111,-0.012083,1.039999962,45,9770,741.9175627,655.4722,354.600518,0.696934977,0.667783182,0.703745986,0.73718965
Lynx_canadensis,Marrotte_L16,Marrotte,48.31376,-80.192597,34,14,0.750941,-0.003436,5.374999881,44,9770,748.3713235,655.4722,354.600518,0.728076239,0.761638147,0.76536683,0.763792765
Lynx_canadensis,Marrotte_L17,Marrotte,47.754104,-80.36219,29,14,0.721517,0.024201,1.807500005,45,9770,778.7903525,655.4722,354.600518,0.757052804,0.745811685,0.763013893,0.769261914
Lynx_canadensis,Marrotte_L18,Marrotte,46.384226,-79.5867,26,14,0.710862,0.030802,56.4800005,48,9770,794.065666,655.4722,354.600518,0.773085549,0.742299411,0.751422258,0.759750159
Lynx_canadensis,Marrotte_L19,Marrotte,50.080193,-87.988174,13,14,0.7484,-0.028585,1.039999962,45,9770,687.7708703,655.4722,354.600518,0.759018081,0.780483192,0.78071274,0.779381454
Lynx_canadensis,Marrotte_L2,Marrotte,49.587532,-80.279745,23,14,0.734333,0.001629,1.039999962,45,9770,716.7282416,655.4722,354.600518,0.635487978,0.641843307,0.704974339,0.741335956
Lynx_canadensis,Marrotte_L20,Marrotte,51.290961,-93.785979,22,14,0.727324,0.009785,1.039999962,43,9770,750.2116041,655.4722,354.600518,0.717404176,0.74635645,0.772327097,0.777044675
Lynx_canadensis,Marrotte_L21,Marrotte,50.547375,-91.490426,13,14,0.719962,0.009696,1.039999962,42,9770,759.4248252,655.4722,354.600518,0.754414463,0.748442987,0.771813604,0.781417071
Lynx_canadensis,Marrotte_L22,Marrotte,46.876322,-84.03881,18,14,0.722146,0.016421,1.039999962,50,9770,827.5140187,655.4722,354.600518,0.669808282,0.763154111,0.778227229,0.759975432
Lynx_canadensis,Marrotte_L23,Marrotte,46.692177,-81.116518,27,14,0.730119,0.010358,40.38999939,50,9770,805.125,655.4722,354.600518,0.814541905,0.786781243,0.786658185,0.777957588
Lynx_canadensis,Marrotte_L24,Marrotte,49.348165,-90.024608,30,14,0.73637,0.003261,1.039999962,48,9770,744.6845878,655.4722,354.600518,0.753608229,0.745918491,0.763001385,0.775536269
Lynx_canadensis,Marrotte_L25,Marrotte,48.534586,-89.789478,15,14,0.703212,0.036039,1.807500005,47,9770,806.3110307,655.4722,354.600518,0.701078157,0.754916883,0.752598889,0.721026779
Lynx_canadensis,Marrotte_L26,Marrotte,48.406728,-81.402735,39,14,0.745876,-0.00145,13.13000011,44,9770,761.1358696,655.4722,354.600518,0.751692931,0.734623407,0.73369287,0.746391223
